2021-09-22 03:10:25,183 INFO  ExportHelperExtension.cs: 1409 - Component 46 is already fixed
2021-09-22 03:10:25,183 INFO  ExportHelperExtension.cs: 1402 - Fixing 40
2021-09-22 03:10:25,183 INFO  ExportHelperExtension.cs: 1409 - Component 40 is already fixed
2021-09-22 03:10:25,184 INFO  ExportHelperExtension.cs: 1402 - Fixing 32
2021-09-22 03:10:25,184 INFO  ExportHelperExtension.cs: 1409 - Component 32 is already fixed
2021-09-22 03:10:25,184 INFO  ExportHelperExtension.cs: 1402 - Fixing 29
2021-09-22 03:10:25,185 INFO  ExportHelperExtension.cs: 1409 - Component 29 is already fixed
2021-09-22 03:10:25,185 INFO  ExportHelperExtension.cs: 1402 - Fixing 27
2021-09-22 03:10:25,185 INFO  ExportHelperExtension.cs: 1409 - Component 27 is already fixed
2021-09-22 03:10:25,186 INFO  ExportHelperExtension.cs: 1402 - Fixing 28
2021-09-22 03:10:25,186 INFO  ExportHelperExtension.cs: 1409 - Component 28 is already fixed
2021-09-22 03:10:25,186 INFO  ExportHelperExtension.cs: 1402 - Fixing 36
2021-09-22 03:10:25,187 INFO  ExportHelperExtension.cs: 1409 - Component 36 is already fixed
2021-09-22 03:10:25,187 INFO  ExportHelperExtension.cs: 1402 - Fixing 31
2021-09-22 03:10:25,187 INFO  ExportHelperExtension.cs: 1409 - Component 31 is already fixed
2021-09-22 03:10:25,188 INFO  ExportHelperExtension.cs: 1402 - Fixing 30
2021-09-22 03:10:25,188 INFO  ExportHelperExtension.cs: 1409 - Component 30 is already fixed
2021-09-22 03:10:25,188 INFO  ExportHelperExtension.cs: 1402 - Fixing 35
2021-09-22 03:10:25,188 INFO  ExportHelperExtension.cs: 1409 - Component 35 is already fixed
2021-09-22 03:10:25,189 INFO  ExportHelperExtension.cs: 1402 - Fixing 34
2021-09-22 03:10:25,189 INFO  ExportHelperExtension.cs: 1409 - Component 34 is already fixed
2021-09-22 03:10:25,189 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2021-09-22 03:10:25,190 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2021-09-22 03:10:25,190 INFO  ExportHelperExtension.cs: 1402 - Fixing 25
2021-09-22 03:10:25,190 INFO  ExportHelperExtension.cs: 1409 - Component 25 is already fixed
2021-09-22 03:10:25,191 INFO  ExportHelperExtension.cs: 1402 - Fixing 25
2021-09-22 03:10:25,191 INFO  ExportHelperExtension.cs: 1409 - Component 25 is already fixed
2021-09-22 03:10:25,191 INFO  ExportHelperExtension.cs: 1402 - Fixing 54
2021-09-22 03:10:25,192 INFO  ExportHelperExtension.cs: 1409 - Component 54 is already fixed
2021-09-22 03:10:25,192 INFO  ExportHelperExtension.cs: 1402 - Fixing 51
2021-09-22 03:10:25,192 INFO  ExportHelperExtension.cs: 1409 - Component 51 is already fixed
2021-09-22 03:10:25,193 INFO  ExportHelperExtension.cs: 1402 - Fixing 50
2021-09-22 03:10:25,193 INFO  ExportHelperExtension.cs: 1409 - Component 50 is already fixed
2021-09-22 03:10:25,193 INFO  ExportHelperExtension.cs: 1402 - Fixing 41
2021-09-22 03:10:25,194 INFO  ExportHelperExtension.cs: 1409 - Component 41 is already fixed
2021-09-22 03:10:25,194 INFO  ExportHelperExtension.cs: 1402 - Fixing 37
2021-09-22 03:10:25,194 INFO  ExportHelperExtension.cs: 1409 - Component 37 is already fixed
2021-09-22 03:10:25,195 INFO  ExportHelperExtension.cs: 1402 - Fixing 33
2021-09-22 03:10:25,195 INFO  ExportHelperExtension.cs: 1409 - Component 33 is already fixed
2021-09-22 03:10:25,195 INFO  ExportHelperExtension.cs: 1402 - Fixing 42
2021-09-22 03:10:25,196 INFO  ExportHelperExtension.cs: 1409 - Component 42 is already fixed
2021-09-22 03:10:25,196 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2021-09-22 03:10:25,196 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2021-09-22 03:10:25,196 INFO  ExportHelperExtension.cs: 1402 - Fixing 43
2021-09-22 03:10:25,197 INFO  ExportHelperExtension.cs: 1409 - Component 43 is already fixed
2021-09-22 03:10:27,133 INFO  ExportHelperExtension.cs: 832 - R1: 0, 0
2021-09-22 03:10:27,133 INFO  ExportHelperExtension.cs: 841 - R2: 0, 0
2021-09-22 03:10:27,134 INFO  ExportHelperExtension.cs: 849 - L1: 0
2021-09-22 03:10:27,134 INFO  ExportHelperExtension.cs: 857 - L2: 0
2021-09-22 03:10:27,290 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent vention_frame_link to child ur5e_mounting_link failed
2021-09-22 03:10:27,488 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from VentionAssembly_12773_v36.SLDASM
2021-09-22 03:10:27,492 INFO  ExportHelperExtension.cs: 1136 - Found 28 in VentionAssembly_12773_v36.SLDASM
